,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ma__discount,param_st__horizon,param_st__window_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.023061323165893554,0.002622108713475474,0.017005395889282227,0.0042721232835357175,0.5,10min,1,"{'ma__discount': 0.5, 'st__horizon': '10min', 'st__window_size': 1}",-66.26769127103113,-56.65611236656775,-58.00262649540361,-40.201180688990554,-60.729468193949344,-56.37141580318847,8.730948320544305,1
1,0.019286918640136718,0.00347799289006022,0.014381980895996094,0.003521641880576939,0.5,10min,5,"{'ma__discount': 0.5, 'st__horizon': '10min', 'st__window_size': 5}",-69.08128333557347,-58.132187134066456,-61.330059086965655,-43.618663691373634,-66.42438389827636,-59.717315429251116,8.910093422562829,7
2,0.02088456153869629,0.006726233589310715,0.016005468368530274,0.0002833347134314439,0.5,10min,10,"{'ma__discount': 0.5, 'st__horizon': '10min', 'st__window_size': 10}",-69.61753422704042,-58.46017420549779,-61.585145811162164,-43.9043999550387,-67.0592960908891,-60.12531005792564,9.013370117569423,8
3,0.2293692111968994,0.1187386144286113,0.2028885841369629,0.16718021453009815,0.5,10min,100,"{'ma__discount': 0.5, 'st__horizon': '10min', 'st__window_size': 100}",-69.63218295527675,-58.47036807119973,-61.59268876795709,-43.911582802664554,-67.08374223946655,-60.13811296731294,9.017500495205168,9
4,0.39452877044677737,0.204713003124153,0.2894791603088379,0.07158960077005441,0.5,10min,200,"{'ma__discount': 0.5, 'st__horizon': '10min', 'st__window_size': 200}",-69.63218295527675,-58.47036807119973,-61.59268876795709,-43.911582802664554,-67.08374223946655,-60.13811296731294,9.017500495205168,9
5,0.021698999404907226,0.010061711917644078,0.020794105529785157,0.007035810604260469,0.5,hourly,1,"{'ma__discount': 0.5, 'st__horizon': 'hourly', 'st__window_size': 1}",-134.37266744285373,-109.39573182511515,-114.47120981588483,-84.72653651964006,-133.64546169088732,-115.32232145887619,18.278971862963306,33
6,0.02121744155883789,0.005072776626989558,0.02272343635559082,0.014082168464683823,0.5,hourly,5,"{'ma__discount': 0.5, 'st__horizon': 'hourly', 'st__window_size': 5}",-134.78246102069266,-108.57567111732791,-112.71934938119672,-84.42861030594325,-135.1821923674093,-115.13765683851398,18.866134434102033,29
7,0.022410011291503905,0.006665239899357891,0.017971611022949217,0.0008235127177646566,0.5,hourly,10,"{'ma__discount': 0.5, 'st__horizon': 'hourly', 'st__window_size': 10}",-134.89632378398125,-108.63322530031517,-112.63863135261417,-84.40270567252244,-135.51384408412548,-115.2169460387117,18.967089779056554,32
8,0.21775398254394532,0.07801048406388074,0.16919445991516113,0.026273046909630438,0.5,hourly,100,"{'ma__discount': 0.5, 'st__horizon': 'hourly', 'st__window_size': 100}",-134.88977021563275,-108.63214617824352,-112.63161608838095,-84.39771817873326,-135.52432348972926,-115.21511483014395,18.969859774427917,30
9,0.6239163875579834,0.22650433263347147,0.43117527961730956,0.1118971477572115,0.5,hourly,200,"{'ma__discount': 0.5, 'st__horizon': 'hourly', 'st__window_size': 200}",-134.88977021563275,-108.63214617824352,-112.63161608838095,-84.39771817873326,-135.52432348972926,-115.21511483014395,18.969859774427917,30
10,0.012267351150512695,0.0029379645127529494,0.011051559448242187,0.0009207893762182518,0.5,daily,1,"{'ma__discount': 0.5, 'st__horizon': 'daily', 'st__window_size': 1}",-211.43243318225768,-198.9777944174497,-192.6424824056139,-144.648256605142,-228.2730888013679,-195.19481108236624,28.048573376986482,84
11,0.020542097091674805,0.005046033993306069,0.01822772026062012,0.0014546897420935484,0.5,daily,5,"{'ma__discount': 0.5, 'st__horizon': 'daily', 'st__window_size': 5}",-206.89958737580972,-195.70297156128063,-188.44002951642346,-141.85115566909928,-224.31147320173355,-191.44104346486932,27.588979025500052,83
12,0.03221006393432617,0.008671882291717812,0.025714302062988283,0.00201746229889822,0.5,daily,10,"{'ma__discount': 0.5, 'st__horizon': 'daily', 'st__window_size': 10}",-206.2361373817344,-195.29889777408079,-187.89775314033747,-141.4183841263091,-223.70833818365554,-190.91190212122348,27.52590617279206,82
13,0.23871846199035646,0.09686468185683023,0.15078458786010743,0.009276032851005927,0.5,daily,100,"{'ma__discount': 0.5, 'st__horizon': 'daily', 'st__window_size': 100}",-206.1957778271637,-195.2745893227427,-187.86690317797377,-141.39241987130166,-223.67229682766245,-190.88039740536885,27.52206218895566,79
14,0.5134900093078614,0.2051477264108088,0.32207651138305665,0.055556739790182955,0.5,daily,200,"{'ma__discount': 0.5, 'st__horizon': 'daily', 'st__window_size': 200}",-206.1957778271637,-195.2745893227427,-187.86690317797377,-141.39241987130166,-223.67229682766245,-190.88039740536885,27.52206218895566,79
15,0.008306169509887695,0.001826832558884933,0.006460237503051758,0.00029213892274489465,0.6,10min,1,"{'ma__discount': 0.6, 'st__horizon': '10min', 'st__window_size': 1}",-66.26769127103113,-56.65611236656775,-58.00262649540361,-40.201180688990554,-60.729468193949344,-56.37141580318847,8.730948320544305,1
16,0.014584922790527343,0.004068244059238268,0.011783123016357422,0.0007286410673358711,0.6,10min,5,"{'ma__discount': 0.6, 'st__horizon': '10min', 'st__window_size': 5}",-71.57149915022782,-59.988147437575975,-63.465359034174675,-45.36862478367196,-69.3307787161283,-61.94488182435574,9.253498710428177,11
17,0.02259535789489746,0.006222227280183184,0.017767000198364257,0.0005691638739642308,0.6,10min,10,"{'ma__discount': 0.6, 'st__horizon': '10min', 'st__window_size': 10}",-73.30151136242867,-61.136376369022464,-64.4344468660225,-46.31593187611985,-71.28937485457895,-63.295528265634495,9.573787621027341,12
18,0.17443208694458007,0.060838294808318046,0.1251584529876709,0.0024688091171691327,0.6,10min,100,"{'ma__discount': 0.6, 'st__horizon': '10min', 'st__window_size': 100}",-73.43991890781957,-61.24024418453031,-64.51987335597718,-46.389453547795426,-71.49310228213005,-63.41651845565051,9.608061865394275,13
19,0.5587309837341309,0.4689759325140701,0.631999158859253,0.4343712015791157,0.6,10min,200,"{'ma__discount': 0.6, 'st__horizon': '10min', 'st__window_size': 200}",-73.43991890781957,-61.24024418453031,-64.51987335597718,-46.389453547795426,-71.49310228213005,-63.41651845565051,9.608061865394275,13
20,0.012281560897827148,0.0036538401718813323,0.011532306671142578,0.0018358293508446617,0.6,hourly,1,"{'ma__discount': 0.6, 'st__horizon': 'hourly', 'st__window_size': 1}",-134.37266744285373,-109.39573182511515,-114.47120981588483,-84.72653651964006,-133.64546169088732,-115.32232145887619,18.278971862963306,33
21,0.021471309661865234,0.004810986985402534,0.01904292106628418,0.0023277714986141354,0.6,hourly,5,"{'ma__discount': 0.6, 'st__horizon': 'hourly', 'st__window_size': 5}",-135.8557863067593,-109.24986925511344,-113.14171256944783,-84.92079524307437,-136.47826135003822,-115.92928494488665,19.148041545373175,39
