,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_nystroem__kernel,param_nystroem__n_components,param_st__horizon,param_st__window_size,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,4.21415360768636,2.069373130362173,1.964423418045044,0.1591016044543423,rbf,100,10min,8,"{'nystroem__kernel': 'rbf', 'nystroem__n_components': 100, 'st__horizon': '10min', 'st__window_size': 8}",-183.13736353696612,-176.2338736525124,-171.01975188886027,-176.79699635944624,4.962993612788962,6
1,4.374188343683879,1.9446539027351377,2.142800728480021,0.28301317869877274,rbf,100,hourly,8,"{'nystroem__kernel': 'rbf', 'nystroem__n_components': 100, 'st__horizon': 'hourly', 'st__window_size': 8}",-294.91198514818063,-272.394796954996,-280.52640862806044,-282.611063577079,9.310040484128729,12
2,5.397212028503418,2.5505468041431905,2.59341828028361,0.6461360085087686,rbf,100,daily,8,"{'nystroem__kernel': 'rbf', 'nystroem__n_components': 100, 'st__horizon': 'daily', 'st__window_size': 8}",-605.105626185503,-568.759998101734,-599.6201626343689,-591.1619289738686,15.998071919091325,13
3,37.54351838429769,16.86072847977032,9.92850653330485,1.905023469544905,rbf,500,10min,8,"{'nystroem__kernel': 'rbf', 'nystroem__n_components': 500, 'st__horizon': '10min', 'st__window_size': 8}",-169.51176214945608,-157.52799720607706,-156.4329118090438,-161.15755705485898,5.924207968364097,5
4,32.05871733029684,12.920354476800464,8.403765598932901,1.3248570573510585,rbf,500,hourly,8,"{'nystroem__kernel': 'rbf', 'nystroem__n_components': 500, 'st__horizon': 'hourly', 'st__window_size': 8}",-289.8302453026117,-276.20780923388605,-271.8928221091022,-279.3102922152,7.644468073614615,11
5,30.16834632555644,12.848350496911367,9.554150025049845,1.5099273795260562,rbf,500,daily,8,"{'nystroem__kernel': 'rbf', 'nystroem__n_components': 500, 'st__horizon': 'daily', 'st__window_size': 8}",-614.5455012434282,-581.476900753258,-599.6304089574196,-598.5509369847019,13.5217609651883,17
6,242.6529004573822,189.10934184292952,36.30494634310404,11.536975645968075,rbf,1000,10min,8,"{'nystroem__kernel': 'rbf', 'nystroem__n_components': 1000, 'st__horizon': '10min', 'st__window_size': 8}",-165.7232018145374,-159.12814519746962,-153.05376468624377,-159.30170389941694,5.1737318094525975,4
7,222.71852660179138,156.76429857440348,26.587039709091187,7.029110151216457,rbf,1000,hourly,8,"{'nystroem__kernel': 'rbf', 'nystroem__n_components': 1000, 'st__horizon': 'hourly', 'st__window_size': 8}",-288.75251744224585,-275.44432727362897,-269.9947879496107,-278.0638775551618,7.878647798018286,10
8,164.5179547468821,107.21051649863709,21.192833026250202,1.0054662225047526,rbf,1000,daily,8,"{'nystroem__kernel': 'rbf', 'nystroem__n_components': 1000, 'st__horizon': 'daily', 'st__window_size': 8}",-618.388083283087,-586.8284640141954,-599.6075257721152,-601.6080243564659,12.961581385999661,18
9,5.136165380477905,2.37392737059739,2.011263370513916,0.7562185734083307,linear,100,10min,8,"{'nystroem__kernel': 'linear', 'nystroem__n_components': 100, 'st__horizon': '10min', 'st__window_size': 8}",-156.061498468848,-146.21293798482174,-149.1517482422827,-150.47539489865082,4.1281607086826355,3
10,5.076724926630656,2.0175765485351986,1.8294885953267415,0.5960489273885753,linear,100,hourly,8,"{'nystroem__kernel': 'linear', 'nystroem__n_components': 100, 'st__horizon': 'hourly', 'st__window_size': 8}",-275.4318226695545,-263.9433746847608,-273.26203028995445,-270.87907588142326,4.98363743061106,7
11,6.505064964294434,3.0216883756904505,1.8381287256876628,0.4790427050703252,linear,100,daily,8,"{'nystroem__kernel': 'linear', 'nystroem__n_components': 100, 'st__horizon': 'daily', 'st__window_size': 8}",-609.8836734624541,-567.8822418319171,-604.2652237878197,-594.0103796940635,18.617222050100118,14
12,26.590320030848186,12.428468318176789,7.168125947316487,1.9786572372252687,linear,500,10min,8,"{'nystroem__kernel': 'linear', 'nystroem__n_components': 500, 'st__horizon': '10min', 'st__window_size': 8}",-156.06149841948672,-146.21293795316785,-149.15174820147115,-150.4753948580419,4.128160701674372,1
13,20.107723871866863,6.95640274568261,5.7074070771535235,0.3239231459430296,linear,500,hourly,8,"{'nystroem__kernel': 'linear', 'nystroem__n_components': 500, 'st__horizon': 'hourly', 'st__window_size': 8}",-275.4318227102341,-263.9433747216765,-273.2620302690673,-270.879075900326,4.983637422544287,9
14,20.31734077135722,10.77772686513045,6.210491975148519,1.1280211598783452,linear,500,daily,8,"{'nystroem__kernel': 'linear', 'nystroem__n_components': 500, 'st__horizon': 'daily', 'st__window_size': 8}",-609.8836734579131,-567.8822418566195,-604.2652238201209,-594.0103797115512,18.61722204318421,16
15,196.09172598520914,149.888557780435,22.717724164326984,2.4386629633952612,linear,1000,10min,8,"{'nystroem__kernel': 'linear', 'nystroem__n_components': 1000, 'st__horizon': '10min', 'st__window_size': 8}",-156.06149845416363,-146.21293798250528,-149.15174825895923,-150.4753948985427,4.128160701074051,2
16,188.4745504061381,113.15308979196548,31.319570938746136,7.818172406877077,linear,1000,hourly,8,"{'nystroem__kernel': 'linear', 'nystroem__n_components': 1000, 'st__horizon': 'hourly', 'st__window_size': 8}",-275.4318226792553,-263.9433747052434,-273.2620302934212,-270.87907589264,4.983637424615777,8
17,110.68612559636433,59.14485201236036,21.584886074066162,11.116642910739262,linear,1000,daily,8,"{'nystroem__kernel': 'linear', 'nystroem__n_components': 1000, 'st__horizon': 'daily', 'st__window_size': 8}",-609.8836734548605,-567.8822418410675,-604.2652237889538,-594.0103796949606,18.617222043869532,15
