,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_nystroem__kernel,param_nystroem__n_components,param_st__horizon,param_st__window_size,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.7993660767873129,0.25016675472881117,0.6931126912434896,0.06707487016653076,rbf,100,10min,8,"{'nystroem__kernel': 'rbf', 'nystroem__n_components': 100, 'st__horizon': '10min', 'st__window_size': 8}",-59.946204946899364,-62.53698997742679,-73.60514801220751,-65.36278097884455,5.923428202378673,6
1,0.9604852994283041,0.3857433102402638,0.5636500517527262,0.06031142741412798,rbf,100,hourly,8,"{'nystroem__kernel': 'rbf', 'nystroem__n_components': 100, 'st__horizon': 'hourly', 'st__window_size': 8}",-114.14191328090095,-108.40184402824262,-112.11832935455517,-111.55402888789958,2.3771025807102757,9
2,0.8792656262715658,0.1537182476923886,0.4566369851430257,0.063072775105186,rbf,100,daily,8,"{'nystroem__kernel': 'rbf', 'nystroem__n_components': 100, 'st__horizon': 'daily', 'st__window_size': 8}",-181.08603923201315,-177.01017234770381,-194.02020090037115,-184.03880416002937,7.251408294519141,13
3,3.6548357009887695,1.1399200546940407,1.2667792638142903,0.09477368563219907,rbf,500,10min,8,"{'nystroem__kernel': 'rbf', 'nystroem__n_components': 500, 'st__horizon': '10min', 'st__window_size': 8}",-56.63267054812175,-55.24119862864206,-54.39753448135594,-55.423801219373246,0.9215805585498724,4
4,3.5229607423146567,1.1204190798044524,1.2663268248240154,0.11484319820623312,rbf,500,hourly,8,"{'nystroem__kernel': 'rbf', 'nystroem__n_components': 500, 'st__horizon': 'hourly', 'st__window_size': 8}",-114.52699951110645,-106.45474914003474,-98.30726846758114,-106.42967237290743,6.621701212138859,7
5,3.4502947330474854,1.2409646157463186,1.380043347676595,0.1395567710917264,rbf,500,daily,8,"{'nystroem__kernel': 'rbf', 'nystroem__n_components': 500, 'st__horizon': 'daily', 'st__window_size': 8}",-189.9493184093124,-195.05950966804554,-198.8511303781922,-194.61998615185007,3.647414588745434,15
6,13.84088404973348,4.533289036435119,3.6859503587086997,0.2121782558835528,rbf,1000,10min,8,"{'nystroem__kernel': 'rbf', 'nystroem__n_components': 1000, 'st__horizon': '10min', 'st__window_size': 8}",-56.07420255796924,-54.9094520539651,-60.62541626569453,-57.203023625876284,2.4662710678209505,5
7,13.571019649505615,4.576252240959569,3.6240676244099936,0.8141677147651661,rbf,1000,hourly,8,"{'nystroem__kernel': 'rbf', 'nystroem__n_components': 1000, 'st__horizon': 'hourly', 'st__window_size': 8}",-114.49646849713777,-107.90547387996745,-100.9873032438629,-107.79641520698938,5.515632741320261,8
8,14.05477531750997,5.235062094141889,3.285888433456421,0.3788072184781533,rbf,1000,daily,8,"{'nystroem__kernel': 'rbf', 'nystroem__n_components': 1000, 'st__horizon': 'daily', 'st__window_size': 8}",-190.67783280684958,-192.9175084092112,-198.67961078929127,-194.09165066845068,3.37056575407069,14
9,1.0841999848683674,0.18000844748938677,0.610335111618042,0.18314272261742193,linear,100,10min,8,"{'nystroem__kernel': 'linear', 'nystroem__n_components': 100, 'st__horizon': '10min', 'st__window_size': 8}",-55.82511666471516,-52.954995160323996,-49.933593870490334,-52.9045685651765,2.405468400657317,1
10,0.8517196973164877,0.27960640646421425,0.5620996952056885,0.13601958851148832,linear,100,hourly,8,"{'nystroem__kernel': 'linear', 'nystroem__n_components': 100, 'st__horizon': 'hourly', 'st__window_size': 8}",-114.64094780492111,-115.81103120498899,-120.73981833678684,-117.06393244889898,2.6427733647765352,10
11,0.597301721572876,0.1501480400641961,0.39168763160705566,0.06676003140715464,linear,100,daily,8,"{'nystroem__kernel': 'linear', 'nystroem__n_components': 100, 'st__horizon': 'daily', 'st__window_size': 8}",-177.30368270772505,-197.53606582840175,-217.49412000255865,-197.4446228462285,16.407804725226132,17
12,5.647478183110555,1.9984663734636168,1.7825476328531902,0.4696031925490695,linear,500,10min,8,"{'nystroem__kernel': 'linear', 'nystroem__n_components': 500, 'st__horizon': '10min', 'st__window_size': 8}",-55.82511667361502,-52.95499518588627,-49.93359387534491,-52.90456857828207,2.4054684024391824,2
13,3.9912046591440835,1.0554592838453363,1.4759857654571533,0.12444642495317997,linear,500,hourly,8,"{'nystroem__kernel': 'linear', 'nystroem__n_components': 500, 'st__horizon': 'hourly', 'st__window_size': 8}",-114.64094781326484,-115.81103122246545,-120.73981838390492,-117.06393247321175,2.64277338131064,11
14,4.011281331380208,1.1282658813747415,1.4728140036265056,0.21233470872746169,linear,500,daily,8,"{'nystroem__kernel': 'linear', 'nystroem__n_components': 500, 'st__horizon': 'daily', 'st__window_size': 8}",-177.30368269948036,-197.53606584005158,-217.49411994671044,-197.44462282874747,16.407804705873403,16
15,12.992039839426676,3.7514805742310595,3.4600843588511148,0.28273644097961237,linear,1000,10min,8,"{'nystroem__kernel': 'linear', 'nystroem__n_components': 1000, 'st__horizon': '10min', 'st__window_size': 8}",-55.82511669182462,-52.95499518529164,-49.93359385988613,-52.904568579000795,2.4054684161689637,3
16,12.31113330523173,4.01038057470951,3.6274635791778564,0.34409459514247137,linear,1000,hourly,8,"{'nystroem__kernel': 'linear', 'nystroem__n_components': 1000, 'st__horizon': 'hourly', 'st__window_size': 8}",-114.6409478440373,-115.81103124630478,-120.73981844036541,-117.06393251023583,2.642773394316272,12
