,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_est__alpha,param_fs__features,param_st__horizon,param_st__window_size,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
91,0.13588309288024902,0.05904023146145513,0.09416604042053223,0.051186684143297384,1,"['power', 'wind_speed', 'wind_direction', 'air_density', 'relative_humidity']",10min,1,"{'est__alpha': 1, 'fs__features': ['power', 'wind_speed', 'wind_direction', 'air_density', 'relative_humidity'], 'st__horizon': '10min', 'st__window_size': 1}",-58.09296348802522,-52.342967231202806,-52.52379839111845,-54.31990970344882,2.6689731012855615,16
92,0.06674106915791829,0.010921895909499966,0.03357656796773275,0.007147508217470606,1,"['power', 'rotor_speed', 'air_density', 'relative_humidity']",10min,1,"{'est__alpha': 1, 'fs__features': ['power', 'rotor_speed', 'air_density', 'relative_humidity'], 'st__horizon': '10min', 'st__window_size': 1}",-59.79390421057249,-53.821392557692725,-53.45381862853461,-55.6897051322666,2.905984079346653,82
93,0.06715202331542969,0.02155837379738203,0.034446398417154946,0.00805669458822058,1,"['power', 'wind_speed', 'rotor_speed', 'air_density', 'relative_humidity']",10min,1,"{'est__alpha': 1, 'fs__features': ['power', 'wind_speed', 'rotor_speed', 'air_density', 'relative_humidity'], 'st__horizon': '10min', 'st__window_size': 1}",-57.72292345011144,-55.1844795964177,-52.60785212588936,-55.171751724139504,2.088238517988993,38
94,0.06314595540364583,0.006294960352616132,0.05092374483744303,0.008125756615566951,1,"['power', 'wind_direction', 'rotor_speed', 'air_density', 'relative_humidity']",10min,1,"{'est__alpha': 1, 'fs__features': ['power', 'wind_direction', 'rotor_speed', 'air_density', 'relative_humidity'], 'st__horizon': '10min', 'st__window_size': 1}",-60.03378008757343,-53.87894729310035,-53.37964411065241,-55.76412383044207,3.0259763529089745,105
95,0.10639548301696777,0.005478899641995298,0.08022713661193848,0.030740599994776463,1,"['power', 'wind_speed', 'wind_direction', 'rotor_speed', 'air_density', 'relative_humidity']",10min,1,"{'est__alpha': 1, 'fs__features': ['power', 'wind_speed', 'wind_direction', 'rotor_speed', 'air_density', 'relative_humidity'], 'st__horizon': '10min', 'st__window_size': 1}",-57.70701107795558,-55.43525359214772,-52.70089227130728,-55.28105231380352,2.0466460208923407,46
96,0.03694438934326172,0.0037369712015326755,0.021189769109090168,0.004368523624690164,10,['power'],10min,1,"{'est__alpha': 10, 'fs__features': ['power'], 'st__horizon': '10min', 'st__window_size': 1}",-59.67937655744341,-53.67696399762969,-53.518398494390865,-55.624913016487994,2.867669403122442,73
97,0.0997329552968343,0.053799438659059715,0.06696708997090657,0.02406919739920817,10,"['power', 'wind_speed']",10min,1,"{'est__alpha': 10, 'fs__features': ['power', 'wind_speed'], 'st__horizon': '10min', 'st__window_size': 1}",-57.82616704234261,-52.4293574460367,-52.48910055075073,-54.24820834637668,2.5301164178971285,7
98,0.06333525975545247,0.0036151029882616546,0.046113808949788414,0.02431125144726692,10,"['power', 'wind_direction']",10min,1,"{'est__alpha': 10, 'fs__features': ['power', 'wind_direction'], 'st__horizon': '10min', 'st__window_size': 1}",-59.99904377951726,-53.901632747136574,-53.38563673716515,-55.762104421272994,3.0033652585786825,100
99,0.046184539794921875,0.0041525942933327955,0.021155913670857746,0.0016587463522366834,10,"['power', 'wind_speed', 'wind_direction']",10min,1,"{'est__alpha': 10, 'fs__features': ['power', 'wind_speed', 'wind_direction'], 'st__horizon': '10min', 'st__window_size': 1}",-58.09298536839392,-52.46538886682005,-52.52745710056157,-54.361943778591844,2.638366492741867,29
100,0.02356831232706706,0.004570010319099637,0.012541373570760092,0.0004706204933956565,10,"['power', 'rotor_speed']",10min,1,"{'est__alpha': 10, 'fs__features': ['power', 'rotor_speed'], 'st__horizon': '10min', 'st__window_size': 1}",-59.71721971018467,-53.61575575080744,-53.46332862200196,-55.5987680276647,2.912849887806067,65
101,0.0439301331837972,0.013686862509285622,0.02322689692179362,0.0038602161685474105,10,"['power', 'wind_speed', 'rotor_speed']",10min,1,"{'est__alpha': 10, 'fs__features': ['power', 'wind_speed', 'rotor_speed'], 'st__horizon': '10min', 'st__window_size': 1}",-57.673017339577044,-55.27597733156492,-52.60820825303214,-55.18573430805804,2.0686840621122253,39
102,0.0368048350016276,0.003472759914077583,0.02167820930480957,0.0022124580343883473,10,"['power', 'wind_direction', 'rotor_speed']",10min,1,"{'est__alpha': 10, 'fs__features': ['power', 'wind_direction', 'rotor_speed'], 'st__horizon': '10min', 'st__window_size': 1}",-60.00989868015571,-53.806116111403604,-53.37815617073861,-55.731390320765975,3.030402917515465,89
