,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_est__alpha,param_st__horizon,param_st__window_size,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.7070740063985189,0.17726043086732288,0.37261398633321124,0.03021409995370083,0.1,10min,1,"{'est__alpha': 0.1, 'st__horizon': '10min', 'st__window_size': 1}",-159.6674723920766,-149.0227311338976,-152.09756656780831,-153.59592336459417,4.472988108729286,21
1,0.7399500211079916,0.1351541023138385,0.4326353073120117,0.119069134488803,0.1,10min,2,"{'est__alpha': 0.1, 'st__horizon': '10min', 'st__window_size': 2}",-158.31853035019307,-147.82230071408455,-150.70704684758286,-152.28262597062016,4.4275310142481565,18
2,0.8096103668212891,0.26708774718908357,0.4011353651682536,0.1333677906012367,0.1,10min,3,"{'est__alpha': 0.1, 'st__horizon': '10min', 'st__window_size': 3}",-157.11961652857354,-146.89319848436554,-149.84326563080455,-151.28536021458123,4.297645409224625,12
3,0.5243988831837972,0.06922744186357374,0.2661147117614746,0.02335005878973297,0.1,hourly,1,"{'est__alpha': 0.1, 'st__horizon': 'hourly', 'st__window_size': 1}",-284.83575887888816,-271.31721418151596,-281.1119567836692,-279.08830994802446,5.70141050210523,45
4,0.5842333634694418,0.18931032184507735,0.3147764205932617,0.04619305309587531,0.1,hourly,2,"{'est__alpha': 0.1, 'st__horizon': 'hourly', 'st__window_size': 2}",-280.56095274857665,-267.9483960941215,-277.4046548050867,-275.30466788259497,5.358893240613368,43
5,0.7708199818929037,0.2749961680621747,0.3966796398162842,0.03448776779305327,0.1,hourly,3,"{'est__alpha': 0.1, 'st__horizon': 'hourly', 'st__window_size': 3}",-278.11544358538316,-265.9948006008676,-275.4299959468609,-273.1800800443706,5.1976974239067735,39
6,0.4481469790140788,0.1112314709170711,0.24006255467732748,0.04102698049725876,0.1,daily,1,"{'est__alpha': 0.1, 'st__horizon': 'daily', 'st__window_size': 1}",-610.8066091067976,-568.5396183631839,-604.9756526985516,-594.7739600561777,18.702593870143282,72
7,0.6197174390157064,0.2716245210750054,0.3341360886891683,0.044940211863960154,0.1,daily,2,"{'est__alpha': 0.1, 'st__horizon': 'daily', 'st__window_size': 2}",-610.3921073991587,-568.3261613459357,-604.6668979517108,-594.4617222322685,18.627849454274806,68
8,0.7920743624369303,0.220194284314951,0.42091933886210126,0.10348712946489066,0.1,daily,3,"{'est__alpha': 0.1, 'st__horizon': 'daily', 'st__window_size': 3}",-610.1907058998854,-568.1797135899823,-604.5019065272145,-594.2907753390274,18.608802018085612,64
9,0.48009157180786133,0.20844216564932208,0.30530563990275067,0.033527020841578756,1,10min,1,"{'est__alpha': 1, 'st__horizon': '10min', 'st__window_size': 1}",-159.6679512274861,-149.02274720489294,-152.0977812077401,-153.59615988003972,4.473175319230563,22
10,0.5946468512217203,0.15728698027603125,0.4441699981689453,0.14840932282962663,1,10min,2,"{'est__alpha': 1, 'st__horizon': '10min', 'st__window_size': 2}",-158.31190062339905,-147.82003517056373,-150.7077920764794,-152.2799092901474,4.42519111227476,17
11,0.8756123383839926,0.463675595266073,0.4745892683664958,0.21318804952005113,1,10min,3,"{'est__alpha': 1, 'st__horizon': '10min', 'st__window_size': 3}",-157.1100888758237,-146.8919194933885,-149.8440675766385,-151.28202531528356,4.2936804900249115,11
12,0.5978188514709473,0.06904005187731461,0.23728076616923013,0.04222204781728042,1,hourly,1,"{'est__alpha': 1, 'st__horizon': 'hourly', 'st__window_size': 1}",-284.8363725381834,-271.3170542642264,-281.11213013429415,-279.0885189789013,5.701709873906823,46
13,0.6674207846323649,0.24869696611254172,0.35648226737976074,0.08676703326502758,1,hourly,2,"{'est__alpha': 1, 'st__horizon': 'hourly', 'st__window_size': 2}",-280.5579527125955,-267.94550282595,-277.4055864735813,-275.30301400404227,5.359358250016754,42
14,0.8732249736785889,0.3661688865700072,0.4475533167521159,0.08637359167173887,1,hourly,3,"{'est__alpha': 1, 'st__horizon': 'hourly', 'st__window_size': 3}",-278.1138873921657,-265.99330014969104,-275.4307587732995,-273.1793154383854,5.198006450769151,38
15,0.5209519068400065,0.19714253079267907,0.2706767717997233,0.10692288225143198,1,daily,1,"{'est__alpha': 1, 'st__horizon': 'daily', 'st__window_size': 1}",-610.805620439649,-568.5397158434778,-604.9758670480041,-594.7737344437104,18.702304761532446,71
16,0.5579724311828613,0.14247942703087463,0.30856601397196454,0.026042191264960168,1,daily,2,"{'est__alpha': 1, 'st__horizon': 'daily', 'st__window_size': 2}",-610.3919329915295,-568.3253105417248,-604.6666043348115,-594.4612826226886,18.628144021337707,67
17,0.7747516632080078,0.2212111303394083,0.33603334426879883,0.03425126543472096,1,daily,3,"{'est__alpha': 1, 'st__horizon': 'daily', 'st__window_size': 3}",-610.190032045043,-568.1792571521153,-604.5018711742408,-594.2903867904664,18.608817117451153,63
18,0.4503637154897054,0.16114598553138645,0.1902147134145101,0.023809116396045805,10,10min,1,"{'est__alpha': 10, 'st__horizon': '10min', 'st__window_size': 1}",-159.67292245077425,-149.02295876568724,-152.0999583580554,-153.59861319150562,4.475109410639093,23
19,0.48122914632161456,0.1546990901458076,0.3222862084706624,0.054519784623981125,10,10min,2,"{'est__alpha': 10, 'st__horizon': '10min', 'st__window_size': 2}",-158.29024546298058,-147.80957635027778,-150.7183791570898,-152.27273365678272,4.417625281794684,16
