st__horizon,st__window_size,RMSE,MAE
1,1,147.52424610433755,51.296736988268464
1,5,145.11386132414003,50.75574417114255
1,50,144.9509634030695,51.15328656435008
6,1,263.97077482257833,119.19225387573346
6,5,257.6670241108909,113.47938995361397
6,50,257.20453030931816,112.86507644653315
144,1,625.4758423841068,444.2358490943909
144,5,626.8254859487421,445.5020977661013
144,50,632.3137471601394,442.39169393181805
